Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database
"de Dear, R. J. and A. Auliciems (1985) ""Validation of the Predicted Mean Vote model of thermal comfort in six Australian field studies."" ASHRAE Trans., V. 91(2), pp. 452- 468.",Richard de Dear,1982.0,Summer,Aw,Tropical wet savanna,Darwin,Australia,Office,Air Conditioned,,,24.0,Female,2.0,,cooler,,,,0.61,12.8,27.08,0.31,1.35,1.348122867,1.348122867,1.348122867,1.348122867,26.2,79.2,,,26.2,79.2,,,26.5,79.7,26.8,80.2,26.5,79.7,,,26.5,79.7,,,66.8,,,0.09,17.72,,,0.09,17.72,,,,,,,,,,,,Database 1
Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Summer,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Air Conditioned,,,30.0,Female,-2.0,,warmer,,,,-0.69,15.12,23.26,0.63,1.1,,,,,22.6,72.7,,,22.6,72.7,,,22.8,73.1,23.0,73.5,,,,,,,,,42.3,,,0.13,25.59,,,0.13,25.59,,,,,,,,,,,,Database 1
Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Naturally Ventilated,,,40.0,Female,2.0,,cooler,,,,2.2,85.0,32.35,0.55,1.1,,,,,31.5,88.7,,,31.5,88.7,,,31.5,88.7,31.5,88.7,,,,,,,,,68.8,,,0.26,51.18,,,0.26,51.18,,,,,,,,,,,,Database 1
"De Vecchi, R. et al. ""Thermal history and its influence on occupants' thermal acceptability and cooling preferences in warm-humid climates: a new desire for comfort?""  Proceedings of 7th Windsor Conference: The changing context of comfort in an unpredictable world Cumberland Lodge, Windsor, UK, 12-15 April 2012. London: Network for Comfort and Energy Use in Buildings, http://nceub.org.uk.",Renata De Vecchi,2010.0,Summer,Cfa,Humid subtropical,Florianopolis,Brazil,Classroom,Mixed Mode,Air Conditioned,,19.0,Female,2.0,0.0,,1.0,more,,,,,0.27,1.2,,,,,28.5,83.4,,,,,,,,,,,,,,,,,,,51.3,,,0.6,118.11,,,,,,,167.0,56.0,,,1.0,,,25.0,77.0,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1996.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,0.0,1.0,no change,,,,-0.1,5.0,24.63,0.6,1.3,,,,,23.3,73.9,,,,,,,,,,,,,23.2,73.8,,,22.4,72.4,43.1,,,0.04,8.04,,,,,,,,,,,,,,16.0,61.0,Database 2
"Konis, Kyle.""Evaluating daylighting effectiveness and occupant visual comfort in a side-lit open-plan office building in San Francisco, California"". Building and Environment 59. 1 (2013); 662-667.",Kyle Konis,2010.0,Summer,Csb,Warm-summer Mediterranean,San Francisco,USA,Office,Mixed Mode,Unknown,,,,,,,,,1.8,,,,,,,,,,22.3,72.2,22.3,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,62.7,Database 2
"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Multan,Pakistan,,Naturally Ventilated,,,29.0,Male,1.0,,cooler,,,,1.64,58.63,29.54,0.39,1.13,,,,,30.8,87.4,,,30.8,87.4,,,30.5,86.8,30.1,86.2,30.2,86.4,,,30.2,86.4,,,67.3,,,0.29,57.28,,,1.77,348.21,,,,,,,,,,,,Database 1
"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,Csa,Hot-summer Mediterranean,Tunis,Tunisia,Multifamily housing,Naturally Ventilated,,,,,0.0,,,,,5.0,-1.9,73.0,18.98,0.64,1.1,1.0,,1.2,,18.5,65.3,,,18.5,65.3,,,18.6,65.5,,,,,,,18.7,65.7,,,56.0,,,0.07,13.04,,,0.07,13.05,,,,,0.0,,,,1.0,13.0,55.4,Database 2
"de Dear, R. J. and A. Auliciems (1985) ""Validation of the Predicted Mean Vote model of thermal comfort in six Australian field studies."" ASHRAE Trans., V. 91(2), pp. 452- 468.",Richard de Dear,1983.0,Summer,Cfb,Oceanic,Melbourne,Australia,Office,Air Conditioned,,,52.0,Female,0.0,,no change,,,,-0.14,5.39,24.39,0.4,1.06,1.058020478,1.058020478,1.058020478,1.058020478,25.6,78.1,,,25.6,78.1,,,25.9,78.6,26.2,79.1,25.9,78.6,,,25.9,78.6,,,43.8,,,0.08,15.75,,,0.08,15.75,,,,,,,,,,,,Database 1
"Singh M. K., Mahapatra S., Atreya S. K., Thermal performance study and evaluation of comfort temperatures in vernacular buildings of North-East India, Building and Environment (2010); 45 (2): 320‰ÛÒ329;  Singh M. K., Mahapatra S., Atreya S. K., Givi B., Thermal monitoring and indoor temperature modeling in vernacular buildings of North-East India, Energy and Buildings (2010); 42(10): 1610‰ÛÒ1618; Singh M. K., Mahapatra S., Atreya S. K., Adaptive thermal comfort model for different climatic zones of North-East India, Applied Energy (2011); 88(7): 2420‰ÛÒ2428; Singh M. K., Attia S., Mahapatra S., Teller J., Assessment of thermal comfort in existing pre-1945 residential building stock, Energy and Buildings",Singh Manoj,2008.0,Spring,Cwa,Monsoon-influenced humid subtropical,Tezpur,India,Multifamily housing,Naturally Ventilated,,,,,2.0,,,,,,,,,0.3,1.0,,,,,29.8,85.6,,,,,,,31.0,87.8,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,19.0,66.2,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Naturally Ventilated,,Mechanical Heating,,,2.0,1.0,no change,,,,0.0,5.0,25.48,0.78,1.4,,,,,21.4,70.5,,,,,,,,,,,,,22.1,71.8,,,21.7,71.1,43.5,,,0.07,13.78,,,,,,,,,,,,,,4.0,39.0,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1996.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Office,Naturally Ventilated,,Mechanical Heating,,,-1.0,1.0,warmer,,,,-1.0,25.0,22.26,0.62,1.0,,,,,22.0,71.7,,,,,,,,,,,,,22.2,72.0,,,22.8,73.0,57.7,,,0.02,3.94,,,,,,,,,,,,,,4.0,39.0,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1996.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,1.0,1.0,cooler,,,,1.1,30.0,30.9,1.54,1.2,,,,,26.0,78.8,,,,,,,,,,,,,25.7,78.3,,,,,22.3,,,0.08,15.75,,,,,,,,,,,,,,4.0,39.0,Database 2
"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,0.0,,cooler,,,,,,,0.71,1.2,,,,,29.5,85.2,,,,,,,,,,,,,,,,,,,28.4,,,0.13,25.59,,,,,,,,,,,,,,17.0,62.6,Database 2
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,Spring,BSh,Hot semi-arid,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,,Female,0.0,1.0,no change,,no change,,0.1,5.0,25.82,0.63,1.0,,,,,26.4,79.5,,,,,,,,,,,,,26.6,79.9,,,,,35.0,,,0.17,33.46,,,,,,,,70.0,,,0.0,0.0,,31.5,88.7,Database 2
"Gail Brager, Gwelen Paliaga, Richard de Dear. Operable windows, personal control and occupant comfort. ASHRAE Transactions. 110(2)",Paliaga,2003.0,Winter,Csb,Warm-summer Mediterranean,Berkeley,USA,Office,Naturally Ventilated,,Mechanical Heating,,Male,0.0,1.0,no change,1.0,no change,,,,,0.72,1.2,,,,,24.1,75.4,24.1,75.4,,,,,24.2,75.6,,,,,24.2,75.6,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,Database 2
"Kwok, A.G. ""Thermal Comfort in Tropical Classrooms."" ASHRAE Trans., V. 104 (1), 1998.",Alison Kwok,1996.0,Winter,As,Tropical dry savanna,Honolulu,USA,Classroom,Naturally Ventilated,,,16.0,Male,-1.0,1.0,no change,,more,5,,,,0.25,1.2,,,,,,,26.0,78.8,,,,,25.9,78.7,,,25.9,78.6,25.9,78.6,,,,,51.0,,,,,0.11,22.3,,,,,,,,,,,,,,Database 1
"De Vecchi, R. et al. ""Thermal history and its influence on occupants' thermal acceptability and cooling preferences in warm-humid climates: a new desire for comfort?""  Proceedings of 7th Windsor Conference: The changing context of comfort in an unpredictable world Cumberland Lodge, Windsor, UK, 12-15 April 2012. London: Network for Comfort and Energy Use in Buildings, http://nceub.org.uk.",Renata De Vecchi,2010.0,Autumn,Cfa,Humid subtropical,Florianopolis,Brazil,Office,Air Conditioned,,,58.0,Male,0.0,1.0,no change,1.0,no change,,,,,0.6,1.3,,,,,23.0,73.4,,,,,,,,,,,,,,,,,,,56.8,,,0.1,19.69,,,,,,,180.0,87.0,,,0.0,,,23.0,73.4,Database 2
"Cao, Bin, et al. ""Field study of human thermal comfort and thermal adaptability during the summer and winter in Beijing."" Energy and Buildings 43.5 (2011): 1051-1056.",Yufeng Zhang,2004.0,Winter,Dwa,Monsoon-influenced hot-summer humid continental,Beijing,China,Classroom,Air Conditioned,,Mechanical Heating,,,0.0,,,,,2.0,-0.8,20.0,23.06,1.2,1.0,,,,,19.7,67.5,19.7,67.5,,,,,,,19.1,66.4,,,,,,,,,36.7,,,0.14,27.56,0.14,27.58,,,,,,,,,,,,-2.0,28.0,Database 2
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Winter,Aw,Tropical wet savanna,Bangalore,India,Office,Naturally Ventilated,,,45.0,Male,0.0,1.0,warmer,,more,5.0,1.0,25.0,28.63,0.78,1.1,,,,,26.8,80.2,26.8,80.2,,,,,,,,,,,27.7,81.9,,,,,47.5,,,0.2,38.39,0.2,38.39,,,,,172.7,77.0,,1.0,,,,29.9,85.8,Database 2
"Cao, Bin, et al. ""Field study of human thermal comfort and thermal adaptability during the summer and winter in Beijing."" Energy and Buildings 43.5 (2011): 1051-1056.",Yufeng Zhang,2004.0,Summer,Dwa,Monsoon-influenced hot-summer humid continental,Beijing,China,Classroom,Naturally Ventilated,,Mechanical Heating,,,0.0,,,,,2.0,-0.7,14.0,23.15,0.9,1.1,,,,,22.6,72.7,22.6,72.7,,,,,,,20.3,68.5,,,,,,,,,28.5,,,0.18,35.43,0.18,35.46,,,,,,,,,,,,26.0,79.0,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,1.0,0.0,cooler,,,,0.7,15.0,27.53,0.73,1.3,,,,,25.8,78.4,,,,,,,,,,,,,25.9,78.7,,,,,25.0,,,0.03,5.91,,,,,,,,,,,,,,16.0,61.0,Database 2
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Summer,Aw,Tropical wet savanna,Chennai,India,Office,Air Conditioned,,,25.0,Female,-1.0,0.0,no change,,no change,6.0,0.7,16.0,26.66,0.55,1.6,,,,,26.6,79.9,26.6,79.9,,,,,,,,,,,26.6,79.9,,,,,59.3,,,0.5,98.43,0.5,98.43,,,,,170.2,55.0,,1.0,,,1.0,38.1,100.5,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Naturally Ventilated,,Mechanical Heating,,,1.0,,no change,,,,0.2,6.0,26.87,1.44,1.0,,,,,22.0,71.6,,,,,,,,,,,,,22.7,72.9,,,22.0,71.6,28.2,,,0.02,3.94,,,,,,,,,,,,,,4.0,39.0,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,0.0,1.0,no change,,,,,,,,1.2,,,,,21.1,70.0,,,,,,,,,,,,,20.9,69.6,,,,,37.5,,,0.08,15.75,,,,,,,,,,,,,,4.0,39.0,Database 2
"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Naturally Ventilated,,Mechanical Heating,,Female,1.0,,cooler,,more,,1.2,35.0,30.37,0.66,1.2,,,,,27.9,82.2,,,,,,,,,27.5,81.5,27.6,81.7,,,,,,,66.0,drier,-3.0,0.1,19.69,,,,,,,,,,,,,,17.5,63.4,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1996.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,1.0,1.0,no change,,,,0.2,6.0,25.94,0.86,1.2,,,,,23.5,74.4,,,,,,,,,,,,,23.6,74.4,,,,,21.9,,,0.04,7.87,,,,,,,,,,,,,,16.0,61.0,Database 2
"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1999.0,Spring,Cfb,Temperate oceanic,London,UK,Others,Naturally Ventilated,,Mechanical Heating,,Male,0.0,,no change,,less,,,,,0.74,1.2,,,,,,,,,,,,,,,,,24.1,75.5,,,,,,,44.7,no change,0.0,0.19,37.4,,,,,,,,,,,,,,4.8,40.6,Database 2
"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Lisbon,Portugal,Others,Naturally Ventilated,,Mechanical Heating,,Male,2.0,,cooler,,less,,0.6,13.0,29.09,0.99,1.5,,,,,22.5,72.5,,,,,,,,,23.5,74.3,22.7,72.9,,,,,,,54.2,drier,-2.0,0.1,19.69,,,,,,,,,,,,,,13.7,56.7,Database 2
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,Spring,BSh,Hot semi-arid,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,,Male,2.0,1.0,cooler,,more,,2.0,76.0,30.31,0.68,1.0,,,,,33.4,92.1,,,,,,,,,,,,,31.9,89.4,,,,,20.0,,,0.06,11.81,,,,,,,,50.0,,,1.0,1.0,,31.5,88.7,Database 2
"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,London,UK,Others,Air Conditioned,,Mechanical Heating,,Female,1.0,,cooler,,less,,0.2,6.0,26.0,0.73,1.2,,,,,24.2,75.6,,,,,,,,,24.1,75.4,24.1,75.4,,,,,,,44.5,drier,-1.0,0.1,19.69,,,,,,,,,,,,,,10.7,51.2,Database 2
"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1995.0,Winter,Dfb,Warm-summer humid continental,Montreal,Canada,Others,Air Conditioned,,,46.0,Female,-3.0,0.0,warmer,0.0,less,2.0,-0.23,6.08,24.31,0.7,1.2,1.2,1.2,1.2,1.2,23.7,74.7,23.9,75.0,23.9,75.0,23.2,73.8,23.3,73.9,23.0,73.4,23.2,73.8,23.4,74.1,23.4,74.1,22.9,73.2,11.4,,,0.08,15.75,0.1,18.7,0.07,12.99,0.07,13.78,,,,,,,,,,Database 1
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1996.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Office,Naturally Ventilated,,Mechanical Heating,,,-2.0,1.0,no change,,,,,,,,1.3,,,,,24.9,76.8,,,,,,,,,,,,,24.8,76.6,,,,,40.4,,,0.03,6.73,,,,,,,,,,,,,,16.0,61.0,Database 2
,Shahin Heidari,2014.0,Winter,BWh,Hot desert,Bandar Abbas,Iran,Multifamily housing,Naturally Ventilated,,,45.0,,0.0,,no change,,,,,,,0.98,1.2,,,,,20.3,68.5,,,,,,,20.6,69.1,,,,,,,,,,,68.0,,,0.02,3.9,,,,,,,,,,0.0,1.0,,0.0,20.7,69.2,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Office,Naturally Ventilated,,Mechanical Heating,,,0.0,1.0,no change,,,,-0.2,6.0,24.5,0.73,1.2,,,,,22.4,72.4,,,,,,,,,,,,,22.4,72.4,,,,,42.2,,,0.02,3.28,,,,,,,,,,,,,,16.0,61.0,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,0.0,1.0,no change,,,,0.0,5.0,25.08,0.71,1.2,,,,,23.6,74.4,,,,,,,,,,,,,24.3,75.7,,,23.4,74.1,21.7,,,0.01,1.97,,,,,,,,,,,,,,16.0,61.0,Database 2
"Romero, R. A., Boj—rquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, MŽxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,Aw,Tropical wet savanna,Colima,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,1.0,,,,,,,,,,,,,,,27.7,81.9,,,,,,,,,,,,,28.4,83.1,,,,,50.0,,,0.2,39.37,,,,,,,166.0,,,,,,,24.0,75.2,Database 2
"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Saidu Sharif,Pakistan,,Naturally Ventilated,,,17.0,Female,3.0,,cooler,,,,2.65,96.06,37.79,0.98,1.88,,,,,33.4,92.1,,,33.4,92.1,,,33.3,92.0,33.3,91.9,33.3,91.9,,,33.3,91.9,,,53.1,,,0.24,47.26,,,0.24,47.26,,,,,,,,,,,,Database 1
"Li Junge,Yang Liu,Lia Jiaping. Adaptive thermal comfort model for hot summer and cold winter zone. HV&AC, 2008, 38(7):20-24.",Yufeng Zhang,2006.0,Winter,Cfa,Humid subtropical,Nanyang,China,Others,,,,,,-3.0,,,,,,,,,1.59,,,,,,10.0,50.0,,,,,,,,,,,,,,,,,,,82.0,,,0.02,2.95,,,,,,,,,,,,,,12.0,53.6,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1996.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,2.0,1.0,no change,,,,-0.5,11.0,23.27,0.75,1.2,,,,,21.4,70.6,,,,,,,,,,,,,21.7,71.1,,,20.7,69.2,33.1,,,0.01,1.97,,,,,,,,,,,,,,16.0,61.0,Database 2
"F. Tartarini, P. Cooper, R. Fleming, Thermal perceptions, preferences and adaptive behaviours of occupants of nursing homes, Build. Environ. 132 (2018) 57‰ÛÒ69.",Federico Tartarini,2016.0,Winter,Cfa,Humid subtropical,Wollongong,Australia,Senior center,Mixed Mode,Naturally Ventilated,Mechanical Heating,70.0,Male,0.0,,no change,,no change,5.0,-0.2,6.0,29.16,2.8,0.8,,,,,18.2,64.8,19.4,66.9,18.2,64.8,17.5,63.5,19.0,66.2,19.8,67.6,19.1,66.4,19.7,67.5,19.1,66.4,,,39.7,,0.0,0.06,11.81,0.05,9.84,0.06,11.81,0.06,11.81,175.0,54.0,,0.0,0.0,,0.0,12.6,54.6,Database 2
"Schiller, G. E. (1990) A comparison of measured and predicted comfort in office buildings. ASHRAE Transactions, 96(1).",Gail Schiller,1987.0,Winter,Csc,Cool-summer mediterranean,San Francisco,USA,Office,Air Conditioned,,,,Male,0.0,,no change,,,5,-1.52,51.83,21.08,0.54,1.0,,,,,21.8,71.3,22.1,71.8,21.8,71.2,21.6,70.9,22.1,71.8,22.4,72.4,22.1,71.8,22.2,72.0,22.4,72.3,21.8,71.2,27.8,,,0.08,16.4,0.06,11.81,0.07,13.78,0.12,23.62,,,,,,,,,,Database 1
"Candido, C.M., 2010. Indoor air movement acceptability and thermal comfort in hot-humid climates.","Candido, Christhina Maria",2010.0,Summer,Am,Tropical monsoon,Maceio,Brazil,Classroom,Naturally Ventilated,,,20.0,Female,1.0,,cooler,1.0,more,,0.7,15.0,25.75,0.4,1.2,,,,,28.8,83.8,,,,,,,28.8,83.8,,,,,29.0,84.2,,,,,67.6,,,0.69,136.09,,,,,,,160.0,49.0,,1.0,,,,28.0,82.4,Database 2
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Winter,BSh,Hot semi-arid,Ahmedabad,India,Office,Naturally Ventilated,,,65.0,Male,-1.0,1.0,warmer,,more,6.0,-0.1,5.0,24.86,0.82,1.1,,,,,24.3,75.7,24.3,75.7,,,,,,,,,,,23.4,74.1,,,,,26.0,,,0.04,7.87,0.04,7.87,,,,,154.9,45.0,,0.0,0.0,,,21.3,70.3,Database 2
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,Summer,BSh,Hot semi-arid,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,,Male,-1.0,1.0,warmer,,more,,1.2,38.0,29.18,0.68,1.0,,,,,28.7,83.7,,,,,,,,,,,,,28.3,82.9,,,,,55.0,,,0.03,5.91,,,,,,,,57.0,,,0.0,0.0,,27.0,80.6,Database 2
"de Dear, R. J. and A. Auliciems (1985) ""Validation of the Predicted Mean Vote model of thermal comfort in six Australian field studies."" ASHRAE Trans., V. 91(2), pp. 452- 468.",Richard de Dear,1984.0,Summer,Cfa,Humid subtropical,Brisbane,Australia,Office,Naturally Ventilated,,,38.0,Male,2.5,,cooler,,,,1.25,37.9,29.03,0.62,1.09,1.092150171,1.092150171,1.092150171,1.092150171,29.2,84.6,,,29.2,84.6,,,28.9,84.1,28.7,83.6,29.0,84.2,,,29.0,84.2,,,57.4,,,0.22,43.31,,,0.22,43.31,,,,,,,,,,,,Database 1
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Winter,Aw,Tropical wet savanna,Bangalore,India,Office,Naturally Ventilated,,,55.0,Male,0.0,1.0,warmer,,no change,6.0,1.2,34.0,29.61,0.72,1.3,,,,,28.0,82.4,28.0,82.4,,,,,,,,,,,28.2,82.8,,,,,41.6,,,0.16,31.5,0.16,31.5,,,,,165.1,64.0,,1.0,,,,29.9,85.8,Database 2
"Teli, D., Jentsch, M. F., & James, P. A. (2012). Naturally ventilated classrooms: An assessment of existing comfort models for predicting the thermal sensation and preference of primary school children. Energy and Buildings, 53, 166-182.",Despoina Teli,2012.0,Spring,Dfb,Warm-summer humid continental,Hampshire,UK,Classroom,Naturally Ventilated,,,,,,,,,,,-0.3,7.0,24.01,0.75,1.2,,,,,21.0,69.8,,,,,,,21.2,70.2,21.5,70.7,,,,,,,,,73.1,,,0.07,14.44,,,,,,,,,,,,,,21.1,70.0,Database 2
